ticker,label,desc,freq,type
GDGCAFJP Index,GDPNOW,NOWCAST GDP ATLANTA FED,DAILY,MACRO
NFCIINDX Index,FINCON,FED CHICAGO FINANCIAL CONDITIONS,DAILY,MACRO
CL1 COMB Comdty,OIL,WTI,DAILY,MACRO
CESIUSD Index,ECOSURP,ECOSURP,DAILY,MACRO
H15X10YR Index,USTR,10y real rates,DAILY,MACRO
IMM0ENCN Index,SPXPOS,Net NCFP SPX,WEEKLY,POSITIONING
CBT42NCN Index,USTPOS,Net NCFP UST2Y,WEEKLY,POSITIONING
NYC2UNCN Index,DXYPOS,Net NCFP DXY,DAILY,POSITIONING
USSN0C10 Curncy,USTVOL,10Y Treasury implied Vol.,DAILY,MARKETIMPLIED
USGG5Y5Y Index,BEI,5Y5Y Breakevens,DAILY,MARKETIMPLIED
USDJPY25R1M BGN Curncy,JPYRR,USDJPY RR DELTA 25 1M,DAILY,MARKETIMPLIED
AAIIBULL Index,BULL,AAII BULL READINGS,WEEKLY,SENTIMENT
AAIIBEAR Index,BEAR,AAII BEAR READINGS,WEEKLY,SENTIMENT
SPX Index,SPX,SP&500,DAILY,ASSETCLASS
EEM Equity,EEM,Emerging Markets,DAILY,ASSETCLASS
XAU Curncy,XAU,Gold,DAILY,ASSETCLASS
USGG10YR Index,USTTEN,UST10 Yield,DAILY,ASSETCLASS
FEDL01 Index,USCASH,USD CASH,DAILY,ASSETCLASS
COFX Index,USDCOP,USDCOP ,DAILY,ASSETCLASS
CLNI1M BGN Curncy,COCASH,Implied COP CASH,DAILY,ASSETCLASS
